,NB,DT,LR,KNN
No FS,9.262787331328024,8.5045964198101,7.891203254389667,8.817983825223306
IG,8.6255766975336,12.593355746696275,8.124824555353015,10.438609205653181
CFS+GS,7.918114328256314,8.098265935235034,8.963720117158065,9.945055130232982
